	readNum	animal
260	read=24464	Nerodia_fasciata_wild_capture
261	read=2756	Nerodia_fasciata_wild_capture
262	read=4840	Nerodia_fasciata_wild_capture
263	read=1148	Nerodia_fasciata_wild_capture
264	read=26252	Nerodia_fasciata_wild_capture
265	read=4516	Nerodia_fasciata_wild_capture
266	read=159517	Nerodia_fasciata_wild_capture
267	read=181340	Nerodia_fasciata_wild_capture
268	read=18640	Nerodia_fasciata_wild_capture
269	read=14130	Nerodia_fasciata_wild_capture
270	read=52788	Nerodia_fasciata_wild_capture
271	read=30115	Nerodia_fasciata_wild_capture
272	read=21280	Nerodia_fasciata_wild_capture
273	read=4508	Nerodia_fasciata_wild_capture
274	read=4480	Nerodia_fasciata_wild_capture
275	read=48600	Nerodia_fasciata_wild_capture
276	read=32263	Nerodia_fasciata_wild_capture
277	read=9584	Nerodia_fasciata_wild_capture
278	read=651	Nerodia_fasciata_wild_capture
279	read=8004	Nerodia_fasciata_wild_capture
280	read=31330	Nerodia_fasciata_wild_capture
281	read=31492	Nerodia_fasciata_wild_capture
282	read=545	Nerodia_fasciata_wild_capture
283	read=44064	Nerodia_fasciata_wild_capture
284	read=55665	Nerodia_fasciata_wild_capture
285	read=59373	Nerodia_fasciata_wild_capture
286	read=19505	Nerodia_fasciata_wild_capture
287	read=19931	Nerodia_fasciata_wild_capture
288	read=34805	Nerodia_fasciata_wild_capture
289	read=5704	Nerodia_fasciata_wild_capture
290	read=185079	Nerodia_fasciata_wild_capture
291	read=8966	Nerodia_fasciata_wild_capture
292	read=48760	Nerodia_fasciata_wild_capture
293	read=32115	Nerodia_fasciata_wild_capture
294	read=7445	Nerodia_fasciata_wild_capture
295	read=16073	Nerodia_fasciata_wild_capture
296	read=18591	Nerodia_fasciata_wild_capture
297	read=24717	Nerodia_fasciata_wild_capture
298	read=8439	Nerodia_fasciata_wild_capture
299	read=17248	Nerodia_fasciata_wild_capture
300	read=33857	Nerodia_fasciata_wild_capture
301	read=70068	Nerodia_fasciata_wild_capture
302	read=52071	Nerodia_fasciata_wild_capture
303	read=32685	Nerodia_fasciata_wild_capture
304	read=21135	Nerodia_fasciata_wild_capture
305	read=15954	Nerodia_fasciata_wild_capture
306	read=35582	Nerodia_fasciata_wild_capture
307	read=13325	Nerodia_fasciata_wild_capture
308	read=463	Nerodia_fasciata_wild_capture
309	read=3395	Nerodia_fasciata_wild_capture
310	read=130397	Nerodia_fasciata_wild_capture
311	read=5705	Nerodia_fasciata_wild_capture
312	read=20807	Nerodia_fasciata_wild_capture
313	read=30034	Nerodia_fasciata_wild_capture
314	read=29928	Nerodia_fasciata_wild_capture
315	read=32468	Nerodia_fasciata_wild_capture
316	read=10661	Nerodia_fasciata_wild_capture
317	read=27598	Nerodia_fasciata_wild_capture
318	read=14141	Nerodia_fasciata_wild_capture
319	read=27148	Nerodia_fasciata_wild_capture
320	read=56073	Nerodia_fasciata_wild_capture
321	read=18049	Nerodia_fasciata_wild_capture
322	read=54149	Nerodia_fasciata_wild_capture
323	read=17278	Nerodia_fasciata_wild_capture
324	read=19476	Nerodia_fasciata_wild_capture
325	read=14753	Nerodia_fasciata_wild_capture
326	read=26174	Nerodia_fasciata_wild_capture
327	read=26439	Nerodia_fasciata_wild_capture
328	read=10935	Nerodia_fasciata_wild_capture
329	read=3467	Nerodia_fasciata_wild_capture
330	read=38084	Nerodia_fasciata_wild_capture
331	read=25946	Nerodia_fasciata_wild_capture
332	read=4519	Nerodia_fasciata_wild_capture
333	read=14991	Nerodia_fasciata_wild_capture
334	read=11582	Nerodia_fasciata_wild_capture
335	read=5697	Nerodia_fasciata_wild_capture
336	read=31869	Nerodia_fasciata_wild_capture
337	read=23322	Nerodia_fasciata_wild_capture
338	read=1850	Nerodia_fasciata_wild_capture
339	read=21427	Nerodia_fasciata_wild_capture
340	read=2691	Nerodia_fasciata_wild_capture
341	read=27088	Nerodia_fasciata_wild_capture
342	read=1281	Nerodia_fasciata_wild_capture
343	read=22732	Nerodia_fasciata_wild_capture
344	read=26342	Nerodia_fasciata_wild_capture
345	read=2915	Nerodia_fasciata_wild_capture
346	read=7259	Nerodia_fasciata_wild_capture
347	read=4903	Nerodia_fasciata_wild_capture
348	read=41039	Nerodia_fasciata_wild_capture
349	read=59582	Nerodia_fasciata_wild_capture
350	read=32282	Nerodia_fasciata_wild_capture
351	read=32603	Nerodia_fasciata_wild_capture
352	read=1943	Nerodia_fasciata_wild_capture
353	read=37932	Nerodia_fasciata_wild_capture
354	read=18150	Nerodia_fasciata_wild_capture
355	read=2512	Nerodia_fasciata_wild_capture
356	read=43846	Nerodia_fasciata_wild_capture
357	read=21854	Nerodia_fasciata_wild_capture
358	read=16389	Nerodia_fasciata_wild_capture
359	read=34542	Nerodia_fasciata_wild_capture
360	read=35047	Nerodia_fasciata_wild_capture
361	read=3833	Nerodia_fasciata_wild_capture
362	read=18007	Nerodia_fasciata_wild_capture
363	read=15757	Nerodia_fasciata_wild_capture
364	read=64	Nerodia_fasciata_wild_capture
365	read=30041	Nerodia_fasciata_wild_capture
366	read=2135	Nerodia_fasciata_wild_capture
367	read=9146	Nerodia_fasciata_wild_capture
368	read=1399	Nerodia_fasciata_wild_capture
369	read=5865	Nerodia_fasciata_wild_capture
370	read=32820	Nerodia_fasciata_wild_capture
371	read=30036	Nerodia_fasciata_wild_capture
372	read=36997	Nerodia_fasciata_wild_capture
373	read=40195	Nerodia_fasciata_wild_capture
374	read=3228	Nerodia_fasciata_wild_capture
375	read=7047	Nerodia_fasciata_wild_capture
376	read=41319	Nerodia_fasciata_wild_capture
377	read=31957	Nerodia_fasciata_wild_capture
378	read=18118	Nerodia_fasciata_wild_capture
379	read=29346	Nerodia_fasciata_wild_capture
380	read=37557	Nerodia_fasciata_wild_capture
381	read=40725	Nerodia_fasciata_wild_capture
382	read=42639	Nerodia_fasciata_wild_capture
383	read=6648	Nerodia_fasciata_wild_capture
384	read=11653	Nerodia_fasciata_wild_capture
385	read=16670	Nerodia_fasciata_wild_capture
386	read=2555	Nerodia_fasciata_wild_capture
387	read=6621	Nerodia_fasciata_wild_capture
388	read=19118	Nerodia_fasciata_wild_capture
389	read=9530	Nerodia_fasciata_wild_capture
390	read=24418	Nerodia_fasciata_wild_capture
391	read=15946	Nerodia_fasciata_wild_capture
392	read=29678	Nerodia_fasciata_wild_capture
393	read=21677	Nerodia_fasciata_wild_capture
394	read=4955	Nerodia_fasciata_wild_capture
