	readNum	animal
129	read=44779	Nerodia_fasciata_museum_prep
130	read=27330	Nerodia_fasciata_museum_prep
131	read=29790	Nerodia_fasciata_museum_prep
132	read=5701	Nerodia_fasciata_museum_prep
133	read=6096	Nerodia_fasciata_museum_prep
134	read=48783	Nerodia_fasciata_museum_prep
135	read=26937	Nerodia_fasciata_museum_prep
136	read=18797	Nerodia_fasciata_museum_prep
137	read=55727	Nerodia_fasciata_museum_prep
138	read=23010	Nerodia_fasciata_museum_prep
139	read=1757	Nerodia_fasciata_museum_prep
140	read=20367	Nerodia_fasciata_museum_prep
141	read=1397	Nerodia_fasciata_museum_prep
142	read=15775	Nerodia_fasciata_museum_prep
143	read=24394	Nerodia_fasciata_museum_prep
144	read=14103	Nerodia_fasciata_museum_prep
145	read=18255	Nerodia_fasciata_museum_prep
146	read=6021	Nerodia_fasciata_museum_prep
147	read=14537	Nerodia_fasciata_museum_prep
148	read=106	Nerodia_fasciata_museum_prep
149	read=49359	Nerodia_fasciata_museum_prep
150	read=6924	Nerodia_fasciata_museum_prep
151	read=4518	Nerodia_fasciata_museum_prep
152	read=5273	Nerodia_fasciata_museum_prep
153	read=29934	Nerodia_fasciata_museum_prep
154	read=4701	Nerodia_fasciata_museum_prep
155	read=23373	Nerodia_fasciata_museum_prep
156	read=5702	Nerodia_fasciata_museum_prep
157	read=22907	Nerodia_fasciata_museum_prep
158	read=5196	Nerodia_fasciata_museum_prep
159	read=38890	Nerodia_fasciata_museum_prep
160	read=7524	Nerodia_fasciata_museum_prep
161	read=429	Nerodia_fasciata_museum_prep
162	read=22966	Nerodia_fasciata_museum_prep
163	read=314	Nerodia_fasciata_museum_prep
164	read=22824	Nerodia_fasciata_museum_prep
165	read=57841	Nerodia_fasciata_museum_prep
166	read=6347	Nerodia_fasciata_museum_prep
167	read=25072	Nerodia_fasciata_museum_prep
168	read=23178	Nerodia_fasciata_museum_prep
169	read=21419	Nerodia_fasciata_museum_prep
170	read=6975	Nerodia_fasciata_museum_prep
171	read=12989	Nerodia_fasciata_museum_prep
172	read=15591	Nerodia_fasciata_museum_prep
173	read=20563	Nerodia_fasciata_museum_prep
174	read=32869	Nerodia_fasciata_museum_prep
175	read=2098	Nerodia_fasciata_museum_prep
176	read=2070	Nerodia_fasciata_museum_prep
177	read=21561	Nerodia_fasciata_museum_prep
178	read=18976	Nerodia_fasciata_museum_prep
179	read=5456	Nerodia_fasciata_museum_prep
180	read=41597	Nerodia_fasciata_museum_prep
181	read=16635	Nerodia_fasciata_museum_prep
182	read=35190	Nerodia_fasciata_museum_prep
183	read=9899	Nerodia_fasciata_museum_prep
184	read=45803	Nerodia_fasciata_museum_prep
185	read=15987	Nerodia_fasciata_museum_prep
186	read=60095	Nerodia_fasciata_museum_prep
187	read=37832	Nerodia_fasciata_museum_prep
188	read=6023	Nerodia_fasciata_museum_prep
189	read=44952	Nerodia_fasciata_museum_prep
190	read=16803	Nerodia_fasciata_museum_prep
191	read=31880	Nerodia_fasciata_museum_prep
192	read=6424	Nerodia_fasciata_museum_prep
193	read=48287	Nerodia_fasciata_museum_prep
194	read=18993	Nerodia_fasciata_museum_prep
195	read=1670	Nerodia_fasciata_museum_prep
196	read=4337	Nerodia_fasciata_museum_prep
197	read=89176	Nerodia_fasciata_museum_prep
198	read=8257	Nerodia_fasciata_museum_prep
199	read=23918	Nerodia_fasciata_museum_prep
200	read=47898	Nerodia_fasciata_museum_prep
201	read=16390	Nerodia_fasciata_museum_prep
202	read=29770	Nerodia_fasciata_museum_prep
203	read=6027	Nerodia_fasciata_museum_prep
204	read=22971	Nerodia_fasciata_museum_prep
205	read=5554	Nerodia_fasciata_museum_prep
206	read=9876	Nerodia_fasciata_museum_prep
207	read=3269	Nerodia_fasciata_museum_prep
208	read=17683	Nerodia_fasciata_museum_prep
209	read=9473	Nerodia_fasciata_museum_prep
210	read=48475	Nerodia_fasciata_museum_prep
211	read=12387	Nerodia_fasciata_museum_prep
212	read=5058	Nerodia_fasciata_museum_prep
213	read=5850	Nerodia_fasciata_museum_prep
214	read=1770	Nerodia_fasciata_museum_prep
215	read=16388	Nerodia_fasciata_museum_prep
216	read=29050	Nerodia_fasciata_museum_prep
217	read=104	Nerodia_fasciata_museum_prep
218	read=44506	Nerodia_fasciata_museum_prep
219	read=3738	Nerodia_fasciata_museum_prep
220	read=39691	Nerodia_fasciata_museum_prep
221	read=48385	Nerodia_fasciata_museum_prep
222	read=13712	Nerodia_fasciata_museum_prep
223	read=36282	Nerodia_fasciata_museum_prep
224	read=36836	Nerodia_fasciata_museum_prep
225	read=7865	Nerodia_fasciata_museum_prep
226	read=7168	Nerodia_fasciata_museum_prep
227	read=23892	Nerodia_fasciata_museum_prep
228	read=18064	Nerodia_fasciata_museum_prep
229	read=21081	Nerodia_fasciata_museum_prep
230	read=15	Nerodia_fasciata_museum_prep
231	read=12495	Nerodia_fasciata_museum_prep
232	read=14369	Nerodia_fasciata_museum_prep
233	read=4827	Nerodia_fasciata_museum_prep
234	read=13501	Nerodia_fasciata_museum_prep
235	read=28986	Nerodia_fasciata_museum_prep
236	read=7863	Nerodia_fasciata_museum_prep
237	read=42583	Nerodia_fasciata_museum_prep
238	read=5395	Nerodia_fasciata_museum_prep
239	read=20369	Nerodia_fasciata_museum_prep
240	read=26402	Nerodia_fasciata_museum_prep
241	read=28745	Nerodia_fasciata_museum_prep
242	read=17107	Nerodia_fasciata_museum_prep
243	read=25059	Nerodia_fasciata_museum_prep
244	read=4576	Nerodia_fasciata_museum_prep
245	read=4132	Nerodia_fasciata_museum_prep
246	read=4521	Nerodia_fasciata_museum_prep
247	read=1095	Nerodia_fasciata_museum_prep
248	read=40399	Nerodia_fasciata_museum_prep
249	read=20166	Nerodia_fasciata_museum_prep
250	read=30098	Nerodia_fasciata_museum_prep
251	read=57453	Nerodia_fasciata_museum_prep
252	read=27329	Nerodia_fasciata_museum_prep
253	read=12461	Nerodia_fasciata_museum_prep
254	read=15037	Nerodia_fasciata_museum_prep
255	read=27869	Nerodia_fasciata_museum_prep
256	read=18543	Nerodia_fasciata_museum_prep
257	read=4100	Nerodia_fasciata_museum_prep
258	read=21269	Nerodia_fasciata_museum_prep
259	read=12459	Nerodia_fasciata_museum_prep
260	read=24464	Nerodia_fasciata_museum_prep
261	read=2756	Nerodia_fasciata_museum_prep
262	read=4840	Nerodia_fasciata_museum_prep
263	read=1148	Nerodia_fasciata_museum_prep
264	read=26252	Nerodia_fasciata_museum_prep
265	read=4516	Nerodia_fasciata_museum_prep
266	read=159517	Nerodia_fasciata_museum_prep
267	read=181340	Nerodia_fasciata_museum_prep
268	read=18640	Nerodia_fasciata_museum_prep
269	read=14130	Nerodia_fasciata_museum_prep
270	read=52788	Nerodia_fasciata_museum_prep
271	read=30115	Nerodia_fasciata_museum_prep
272	read=21280	Nerodia_fasciata_museum_prep
273	read=4508	Nerodia_fasciata_museum_prep
274	read=4480	Nerodia_fasciata_museum_prep
275	read=48600	Nerodia_fasciata_museum_prep
